Code,Designation
C10_03,IMPRIMEE -TRIL03
C10*1,IMPRIMEE AMY 1
C10*2,IMPRIMEE AMY 2
C10*3,IMPRIMEE AMY 3
C10*4,IMPRIMEE AMY 4
C10*5,IMPRIMEE AMY 5
C10-0401,Imprimée carré bleu ciel 
C10-0405,Imprimée carré jaune
C10-04-A,Imprimée carré petrol
C10-0407,Imprimée carré rouge
C10/3,IMPRIMEE DAISY 3
C10/4,IMPRIMEE DAISY 4
C10/5,IMPRIMEE DAISY 5
C10-1,IMPRIMEE STRIPE 1
C10-2,IMPRIMEE STRIPE 2
C10-3,IMPRIMEE STRIPE 3
